day,site,new_customer,platform,visits,distinct_sessions,orders,gross_sales,bounces,add_to_cart,product_page_views,search_page_views,conversion_rate,bounce_rate,add_to_cart_rate
1/1/2013 0:00,Acme,1,Android,24,16,14,1287,4,16,104,192,0.583333333,0.166666667,0.666666667
1/1/2013 0:00,Acme,1,BlackBerry,0,0,0,13,0,0,1,0, , , 
1/1/2013 0:00,Sortly,1,iPad,0,0,0,98,0,0,0,0, , , 
1/1/2013 0:00,Acme,1,Windows,922,520,527,60753,149,610,3914,7367,0.571583514,0.161605206,0.661605206
1/1/2013 0:00,Botly,1,Android,11,10,11,1090,0,11,4,19,1,0,1
1/1/2013 0:00,Acme,1,Macintosh,384,214,213,28129,65,245,1783,3255,0.5546875,0.169270833,0.638020833
1/1/2013 0:00,Sortly,1,Android,14,10,4,432,4,7,33,52,0.285714286,0.285714286,0.5
1/1/2013 0:00,Sortly,1,Windows,1,0,0,31,0,0,2,2,0,0,0
1/1/2013 0:00,Acme,0,Linux,41,27,6,705,6,12,130,272,0.146341463,0.146341463,0.292682927
1/1/2013 0:00,Acme,0,iPhone,448,368,36,4637,80,79,722,1073,0.080357143,0.178571429,0.176339286
1/1/2013 0:00,Widgetry,1,iPhone,15,14,15,1813,0,15,230,216,1,0,1
1/1/2013 0:00,Acme,,Windows,58192,46312,0,,23664,2285,104651,258511,0,0.406653836,0.039266566
1/1/2013 0:00,Sortly,1,Other,0,0,0,,0,0,4,2, , , 
1/1/2013 0:00,Tabular,1,iPad,22,21,22,3378,0,22,0,0,1,0,1
1/1/2013 0:00,Sortly,1,Macintosh,0,0,0,13,0,0,3,1, , , 
1/1/2013 0:00,Acme,,Android,4942,4290,0,,1751,110,5750,14185,0,0.354309996,0.022258195
1/1/2013 0:00,Acme,,BlackBerry,111,94,0,,55,3,111,198,0,0.495495495,0.027027027
1/1/2013 0:00,Pinnacle,,Linux,7,4,0,,5,0,8,10,0,0.714285714,0
1/1/2013 0:00,Pinnacle,0,Macintosh,56,45,5,1563,17,11,120,232,0.089285714,0.303571429,0.196428571
1/1/2013 0:00,Botly,0,Android,20,19,20,2405,0,20,0,0,1,0,1
1/1/2013 0:00,Widgetry,0,iPhone,113,109,113,15320,0,113,1729,1466,1,0,1
1/1/2013 0:00,Pinnacle,,BlackBerry,4,2,0,,2,0,4,4,0,0.5,0
1/1/2013 0:00,Acme,,Linux,984,886,0,,777,10,1078,1840,0,0.789634146,0.010162602
1/1/2013 0:00,Pinnacle,,iPhone,282,239,0,,155,6,292,297,0,0.54964539,0.021276596
1/1/2013 0:00,Acme,,SymbianOS,4,3,0,,2,0,3,4,0,0.5,0
1/1/2013 0:00,Sortly,,Android,1676,1301,0,,952,50,2291,4465,0,0.568019093,0.029832936
1/1/2013 0:00,Sortly,0,Linux,0,0,0,,0,0,0,0, , , 
1/1/2013 0:00,Sortly,0,iPhone,406,317,53,6480,87,119,697,922,0.130541872,0.214285714,0.293103448
1/1/2013 0:00,Pinnacle,,Macintosh,558,433,0,,263,17,731,1202,0,0.471326165,0.03046595
1/1/2013 0:00,Acme,,Macintosh,26437,18922,0,,12039,1206,49492,114557,0,0.455384499,0.045617884
1/1/2013 0:00,Pinnacle,1,Android,0,0,0,,0,0,1,2, , , 
1/1/2013 0:00,Sortly,,Windows,16,14,0,,10,1,27,15,0,0.625,0.0625
1/1/2013 0:00,Acme,,iPad,20171,15708,0,,6694,914,37106,71190,0,0.331862575,0.045312577
1/1/2013 0:00,Acme,0,iPad,2843,1984,470,75880,508,879,10803,17325,0.165318326,0.178684488,0.309180443
1/1/2013 0:00,Pinnacle,1,iPhone,1,0,1,244,0,1,1,1,1,0,1
1/1/2013 0:00,Sortly,0,Macintosh,1,0,0,64,0,0,5,7,0,0,0
1/1/2013 0:00,Tabular,,iPad,3565,2916,0,,464,421,0,2,0,0.130154278,0.118092567
1/1/2013 0:00,Pinnacle,0,Other,0,0,0,,0,0,0,0, , , 
1/1/2013 0:00,Pinnacle,1,iPad,5,1,1,276,1,2,12,11,0.2,0.2,0.4
1/1/2013 0:00,Pinnacle,,SymbianOS,0,0,0,,0,0,0,0, , , 
1/1/2013 0:00,Acme,1,iPhone,18,17,12,1422,1,14,52,56,0.666666667,0.055555556,0.777777778
1/1/2013 0:00,Sortly,,BlackBerry,1,0,0,,0,0,1,1,0,0,0
1/1/2013 0:00,Sortly,,Other,459,458,0,,449,0,13,67,0,0.978213508,0
1/1/2013 0:00,Acme,,,14,14,0,,14,0,3,5,0,1,0
1/1/2013 0:00,Pinnacle,1,Other,0,0,0,,0,0,0,0, , , 
1/1/2013 0:00,Pinnacle,0,iPad,27,22,3,798,6,6,69,102,0.111111111,0.222222222,0.222222222
1/1/2013 0:00,Sortly,,Macintosh,20,18,0,,14,1,28,25,0,0.7,0.05
1/1/2013 0:00,Botly,,Android,1173,957,0,,532,104,764,2159,0,0.453537937,0.088661552
1/1/2013 0:00,Sortly,,iPhone,5683,4705,0,,2501,238,8420,12658,0,0.440084462,0.041879289
1/1/2013 0:00,Acme,1,iPad,235,133,129,16209,38,152,1027,1443,0.54893617,0.161702128,0.646808511
1/1/2013 0:00,Pinnacle,,Android,84,67,0,,48,1,89,146,0,0.571428571,0.011904762
1/1/2013 0:00,Sortly,0,iPad,2,1,0,41,0,1,11,7,0,0,0.5
1/1/2013 0:00,Pinnacle,0,Linux,0,0,0,,0,0,0,0, , , 
1/1/2013 0:00,Pinnacle,1,Windows,6,4,3,621,1,3,20,25,0.5,0.166666667,0.5
1/1/2013 0:00,Acme,1,Linux,4,2,2,222,1,3,16,25,0.5,0.25,0.75
1/1/2013 0:00,Sortly,,Linux,4,3,0,,3,0,7,5,0,0.75,0
1/1/2013 0:00,Acme,1,Other,7,4,3,242,1,3,15,26,0.428571429,0.142857143,0.428571429
1/1/2013 0:00,Pinnacle,0,Windows,49,39,5,1595,11,11,112,237,0.102040816,0.224489796,0.224489796
1/1/2013 0:00,Pinnacle,,Windows,746,614,0,,330,18,897,1588,0,0.442359249,0.024128686
1/1/2013 0:00,Widgetry,,iPhone,4393,3460,0,,52,387,29814,44754,0,0.011837013,0.088094696
1/1/2013 0:00,Acme,,iPhone,6121,5801,0,,2279,135,5435,9290,0,0.372324784,0.02205522
1/1/2013 0:00,Acme,0,Macintosh,7038,4572,945,155655,2136,1625,23732,47414,0.1342711,0.303495311,0.230889457
1/1/2013 0:00,Sortly,0,Android,94,73,7,1217,27,26,213,317,0.074468085,0.287234043,0.276595745
1/1/2013 0:00,Sortly,0,Windows,2,1,1,55,1,1,5,5,0.5,0.5,0.5
1/1/2013 0:00,Acme,0,Android,252,189,24,2760,45,60,706,1564,0.095238095,0.178571429,0.238095238
1/1/2013 0:00,Pinnacle,,iPad,440,352,0,,200,13,529,758,0,0.454545455,0.029545455
1/1/2013 0:00,Pinnacle,1,Macintosh,4,2,2,476,1,2,10,25,0.5,0.25,0.5
1/1/2013 0:00,Acme,0,Windows,8738,6043,1445,212277,1345,2546,33303,68877,0.16536965,0.153925383,0.291371023
1/1/2013 0:00,Acme,,Other,3596,2816,0,,2755,27,2808,6015,0,0.766129032,0.007508343
1/1/2013 0:00,Acme,0,BlackBerry,11,9,0,23,3,1,11,25,0,0.272727273,0.090909091
1/1/2013 0:00,Pinnacle,0,Android,2,1,0,89,1,1,8,7,0,0.5,0.5
1/1/2013 0:00,Pinnacle,,Other,84,59,0,,63,0,22,150,0,0.75,0
1/1/2013 0:00,Pinnacle,0,iPhone,8,7,1,313,2,2,12,21,0.125,0.25,0.25
1/1/2013 0:00,Sortly,0,Other,2,1,0,17,0,1,1,0,0,0,0.5
1/1/2013 0:00,Tabular,0,iPad,169,161,169,30917,0,169,0,0,1,0,1
1/1/2013 0:00,Acme,0,Other,67,46,10,1483,12,19,239,435,0.149253731,0.179104478,0.28358209
1/1/2013 0:00,Sortly,1,iPhone,53,34,20,2127,13,25,94,107,0.377358491,0.245283019,0.471698113
1/1/2013 0:00,Sortly,,iPad,24,21,0,,15,1,41,37,0,0.625,0.041666667
1/2/2013 0:00,Sortly,1,iPad,0,0,0,13,0,0,0,0, , , 
1/2/2013 0:00,Sortly,0,iPad,3,1,1,130,0,2,10,15,0.333333333,0,0.666666667
1/2/2013 0:00,Acme,0,iPad,2343,1641,388,60624,415,714,8029,12704,0.165599659,0.177123346,0.304737516
1/2/2013 0:00,Pinnacle,1,Android,0,0,0,53,0,0,0,0, , , 
1/2/2013 0:00,Pinnacle,1,iPad,2,1,1,144,0,1,5,12,0.5,0,0.5
1/2/2013 0:00,Pinnacle,,Linux,10,8,0,,7,0,6,9,0,0.7,0
1/2/2013 0:00,Sortly,1,Macintosh,1,0,1,44,0,1,1,1,1,0,1
1/2/2013 0:00,Sortly,1,Android,23,13,7,665,6,11,42,61,0.304347826,0.260869565,0.47826087
1/2/2013 0:00,Acme,1,iPad,215,119,111,14163,37,135,821,1187,0.51627907,0.172093023,0.627906977
1/2/2013 0:00,Sortly,,Other,519,519,0,,511,0,8,55,0,0.984585742,0
1/2/2013 0:00,Sortly,,iPhone,4985,4114,0,,2328,227,7186,10516,0,0.467001003,0.04553661
1/2/2013 0:00,Botly,0,Android,23,22,23,2604,0,23,1,1,1,0,1
1/2/2013 0:00,Sortly,,Android,1278,948,0,,747,43,1726,3101,0,0.584507042,0.033646322
1/2/2013 0:00,Acme,1,Macintosh,420,230,226,28526,74,263,1627,3017,0.538095238,0.176190476,0.626190476
1/2/2013 0:00,Sortly,,Windows,27,24,0,,15,2,55,23,0,0.555555556,0.074074074
1/2/2013 0:00,Sortly,1,Windows,1,0,1,57,0,1,1,1,1,0,1
1/2/2013 0:00,Acme,,Other,3784,3061,0,,3068,19,1868,4805,0,0.810782241,0.005021142
1/2/2013 0:00,Pinnacle,1,Windows,8,4,3,964,1,5,12,14,0.375,0.125,0.625
1/2/2013 0:00,Sortly,,SymbianOS,0,0,0,,0,0,0,0, , , 
1/2/2013 0:00,Tabular,,iPad,2566,2127,0,,346,291,8,14,0,0.134840218,0.11340608
1/2/2013 0:00,Acme,0,Windows,13071,8957,1941,280774,1921,3438,40757,83392,0.148496672,0.146966567,0.263025017
1/2/2013 0:00,Pinnacle,0,iPad,22,17,2,677,6,6,45,72,0.090909091,0.272727273,0.272727273
1/2/2013 0:00,Botly,1,Android,11,10,11,1048,0,11,1,1,1,0,1
1/2/2013 0:00,Acme,0,Macintosh,8093,5176,1038,169350,2403,1736,23119,45104,0.128258989,0.296923267,0.214506364
1/2/2013 0:00,Acme,,Macintosh,27146,19543,0,,12939,1181,47495,108238,0,0.47664481,0.043505489
1/2/2013 0:00,Widgetry,,iPhone,4104,3169,0,,53,345,25303,37609,0,0.01291423,0.084064327
1/2/2013 0:00,Pinnacle,,iPhone,243,210,0,,129,5,256,261,0,0.530864198,0.020576132
1/2/2013 0:00,Sortly,1,iPhone,63,39,22,2194,15,29,90,102,0.349206349,0.238095238,0.46031746
1/2/2013 0:00,Sortly,0,Other,1,0,0,,0,0,0,0,0,0,0
1/2/2013 0:00,Tabular,1,iPad,17,16,17,2654,0,17,0,0,1,0,1
1/2/2013 0:00,Widgetry,0,iPhone,117,111,117,15457,0,117,1648,1462,1,0,1
1/2/2013 0:00,Sortly,,BlackBerry,1,0,0,,0,0,1,0,0,0,0
1/2/2013 0:00,Acme,,iPad,15161,12036,0,39,5244,672,26259,50685,0,0.345887474,0.044324253
1/2/2013 0:00,Acme,0,Android,249,183,21,2307,48,54,567,1220,0.084337349,0.192771084,0.21686747
1/2/2013 0:00,Acme,,BlackBerry,123,104,0,,65,2,112,205,0,0.528455285,0.016260163
1/2/2013 0:00,Sortly,0,Macintosh,1,1,0,54,0,1,5,3,0,0,1
1/2/2013 0:00,Sortly,,Linux,3,3,0,,3,0,5,5,0,1,0
1/2/2013 0:00,Widgetry,1,iPhone,17,16,17,1953,0,17,177,187,1,0,1
1/2/2013 0:00,Pinnacle,,,2,2,0,,2,0,1,1,0,1,0
1/2/2013 0:00,Acme,0,BlackBerry,12,10,0,11,3,1,6,14,0,0.25,0.083333333
1/2/2013 0:00,Pinnacle,0,Android,2,1,0,16,1,0,2,4,0,0.5,0
1/2/2013 0:00,Pinnacle,0,Windows,76,60,8,2466,18,19,149,291,0.105263158,0.236842105,0.25
1/2/2013 0:00,Sortly,1,Other,1,0,0,,0,0,0,0,0,0,0
1/2/2013 0:00,Acme,1,Windows,1114,627,626,72943,170,728,4023,7350,0.561938959,0.152603232,0.653500898
1/2/2013 0:00,Acme,1,Other,7,4,3,334,1,4,25,42,0.428571429,0.142857143,0.571428571
1/2/2013 0:00,Sortly,0,Linux,1,0,0,11,0,0,1,1,0,0,0
1/2/2013 0:00,Acme,0,iPhone,479,392,40,5058,83,88,627,973,0.083507307,0.173277662,0.183716075
1/2/2013 0:00,Acme,,Linux,998,919,0,,781,11,2074,1771,0,0.78256513,0.011022044
1/2/2013 0:00,Acme,1,Android,24,15,13,1294,3,16,104,176,0.541666667,0.125,0.666666667
1/2/2013 0:00,Acme,,SymbianOS,4,3,0,,2,0,2,4,0,0.5,0
1/2/2013 0:00,Acme,1,BlackBerry,1,0,0,,0,0,0,0,0,0,0
1/2/2013 0:00,Pinnacle,0,Other,0,0,0,,0,0,1,0, , , 
1/2/2013 0:00,Acme,1,Linux,5,3,3,379,1,3,14,24,0.6,0.2,0.6
1/2/2013 0:00,Pinnacle,1,iPhone,1,0,1,206,0,1,1,4,1,0,1
1/2/2013 0:00,Botly,,Android,1079,869,0,,481,92,582,1697,0,0.445783133,0.085264133
1/2/2013 0:00,Pinnacle,,iPad,336,273,0,,154,8,413,599,0,0.458333333,0.023809524
1/2/2013 0:00,Acme,,Android,4684,4104,0,,1668,101,4998,12199,0,0.356105892,0.021562767
1/2/2013 0:00,Sortly,,Macintosh,23,20,0,,15,1,28,35,0,0.652173913,0.043478261
1/2/2013 0:00,Acme,0,Other,58,41,9,1101,10,17,187,385,0.155172414,0.172413793,0.293103448
1/2/2013 0:00,Pinnacle,0,BlackBerry,0,0,0,,0,0,0,0, , , 
1/2/2013 0:00,Acme,0,Linux,64,39,8,1137,11,15,194,355,0.125,0.171875,0.234375
1/2/2013 0:00,Sortly,0,iPhone,495,385,55,7294,99,122,670,866,0.111111111,0.2,0.246464646
1/2/2013 0:00,Acme,0,SymbianOS,0,0,0,,0,0,0,1, , , 
1/2/2013 0:00,Pinnacle,1,Macintosh,4,3,2,490,1,3,13,18,0.5,0.25,0.75
1/2/2013 0:00,Acme,,,74,73,0,,74,0,22,21,0,1,0
1/2/2013 0:00,Pinnacle,0,Linux,0,0,0,,0,0,0,0, , , 
1/2/2013 0:00,Pinnacle,0,iPhone,10,8,1,242,3,3,11,16,0.1,0.3,0.3
1/2/2013 0:00,Acme,1,iPhone,25,21,15,1584,2,17,73,82,0.6,0.08,0.68
1/2/2013 0:00,Acme,,Windows,68235,54900,0,,27925,2598,117761,288942,0,0.409247454,0.038074302
1/2/2013 0:00,Pinnacle,,Macintosh,561,441,0,,269,17,706,1180,0,0.479500891,0.03030303
1/2/2013 0:00,Sortly,,iPad,17,15,0,,10,1,32,31,0,0.588235294,0.058823529
1/2/2013 0:00,Pinnacle,,Android,79,64,0,,42,1,86,156,0,0.53164557,0.012658228
1/2/2013 0:00,Pinnacle,,Windows,970,795,0,,427,23,1189,1994,0,0.440206186,0.02371134
1/2/2013 0:00,Pinnacle,,BlackBerry,3,2,0,,2,0,3,1,0,0.666666667,0
1/2/2013 0:00,Sortly,0,Android,118,84,8,1055,29,26,182,291,0.06779661,0.245762712,0.220338983
1/2/2013 0:00,Sortly,0,Windows,4,3,1,152,0,2,9,16,0.25,0,0.5
1/2/2013 0:00,Pinnacle,,Other,91,56,0,,73,0,16,157,0,0.802197802,0
1/2/2013 0:00,Acme,,iPhone,6006,5700,0,,2263,130,4988,8594,0,0.376789877,0.021645022
1/2/2013 0:00,Pinnacle,0,Macintosh,61,50,7,2224,19,14,132,229,0.114754098,0.31147541,0.229508197
1/2/2013 0:00,Tabular,0,iPad,127,122,127,21773,0,127,0,0,1,0,1
1/3/2013 0:00,Pinnacle,1,Linux,0,0,0,7,0,0,1,1, , , 
1/3/2013 0:00,Pinnacle,0,Android,5,4,0,,2,0,5,23,0,0.4,0
1/3/2013 0:00,Sortly,,SymbianOS,0,0,0,,0,0,0,0, , , 
1/3/2013 0:00,Pinnacle,,iPhone,390,315,0,,189,9,372,700,0,0.484615385,0.023076923
1/3/2013 0:00,Acme,0,iPhone,564,448,47,6437,99,106,782,1271,0.083333333,0.175531915,0.187943262
1/3/2013 0:00,Acme,1,Linux,5,2,3,341,1,3,17,24,0.6,0.2,0.6
1/3/2013 0:00,Pinnacle,0,Other,0,0,0,,0,0,0,0, , , 
1/3/2013 0:00,Sortly,,Android,1301,961,0,,773,43,1757,3157,0,0.59415834,0.033051499
1/3/2013 0:00,Acme,1,Macintosh,423,228,225,27455,74,266,1655,2951,0.531914894,0.174940898,0.628841608
1/3/2013 0:00,Botly,,Android,1268,1039,0,,552,114,685,2017,0,0.43533123,0.089905363
1/3/2013 0:00,Sortly,1,Windows,1,0,0,22,0,0,1,0,0,0,0
1/3/2013 0:00,Acme,1,BlackBerry,1,0,0,6,0,0,1,1,0,0,0
1/3/2013 0:00,Acme,0,Android,285,210,23,2624,51,62,710,1462,0.080701754,0.178947368,0.21754386
1/3/2013 0:00,Sortly,1,Android,23,13,6,645,5,12,50,74,0.260869565,0.217391304,0.52173913
1/3/2013 0:00,Pinnacle,0,Windows,153,125,13,4616,30,29,356,1065,0.08496732,0.196078431,0.189542484
1/3/2013 0:00,Pinnacle,1,iPhone,1,0,0,73,0,0,1,0,0,0,0
1/3/2013 0:00,Pinnacle,0,BlackBerry,0,0,0,180,0,0,0,0, , , 
1/3/2013 0:00,Sortly,,Macintosh,18,16,0,,12,1,25,30,0,0.666666667,0.055555556
